视频名称,视频类型,up名字,视频简介,点赞数量,投币数,收藏数,分享数,视频链接
对不起 被我装到了！,日常,夏波波Brian,出发之前真的没想到这次挑战会是这样！在节目里遇到了很多B站的小伙伴，很幸运能认识你们！喜欢这个视频的话记得关注，转发，点赞！❤️,161698,104866,18818,5445,https://bili2233.cn/BV1LQ4y1k7XR
我又去“当兵”了,人文历史,凉风Kaze,-,229711,131931,25615,4050,https://bili2233.cn/BV1Dq4y1N7c7
把1000块的海鲜高汤，倒进200度的高温油锅？？ohhh~针不戳！,美食制作,绵羊料理,日更微博：绵羊料理微信公众号：绵羊料理油管同步更新：https://www.youtube.com/c/sheephoho,212313,146702,38554,2932,https://bili2233.cn/BV1Lf4y1n7jv
真·社交牛逼症！在新疆，跟陌生阿姨回家吃饭，还切磋了舞蹈💃,日常,盗月社食遇记,喀什系列最后一期，愿你开心！,146842,105536,21682,5623,https://bili2233.cn/BV1uv411A7EJ
“每天一遍，防止抑郁”,影视剪辑,向上的可可,人生就是这样，有时候不甘于平凡，却又不得不屈服于平凡，这世界有太多不如意，可你的生活还是要继续！,19716,9255,13074,4335,https://bili2233.cn/BV1pU4y1N7oY
【特利迦奥特曼吐槽】无内鬼？来点快餐笑话！,特摄,九冢嵬,一年不吃饭，只为这一战！贝塔充饥，厨房的神！！！,15733,6344,2671,541,https://bili2233.cn/BV1pP4y1h72S
1992年的中国发生了什么？【激荡四十年·1992】,影视杂谈,大象放映室,今天我们继续聊激荡四十年之1992年。,49096,55414,19265,6222,https://bili2233.cn/BV1A44y1b7sL
“到你出马的时候了，异乡人”,GMV,B站七万星星,特别感谢@冷宝酱 授权版本踩点灵感“风带来故事的种子，时间使之发芽。”我们在蒙德注解自由，我们在璃月见证契约，我们在稻妻阐释永恒。我们在原神。剪了好久的原神周年庆视频（剪吐血了作为一只游戏区新up，还不是很会剪GMV，谢谢观众友友多多包容啦～送给所有在提瓦特冒险的旅行者，也送给陪我们送过一年的原神游戏。祝大家未来一路顺利远行～BGM：into the fire素材：@晓益同学 原神官方 自录封面：https://twitter.com/yuuzatta27/status/14,57661,27706,25020,4112,https://bili2233.cn/BV1nQ4y1y7QF
《原神》珊瑚宫心海角色PV——「沧海一意」,手机游戏,原神,继承了珊瑚宫血脉的少女，命中注定需要倾听海祇岛住民的愿望。战局千变，人心复杂。面对如此种种，心海知道，她还有很长的路要走。中文CV：珊瑚宫心海——龟娘日文CV：珊瑚宫心海——三森铃子《原神》bilibili服下载地址：http://www.biligame.com/detail/?id=103496,163347,47474,22768,42196,https://bili2233.cn/BV1oU4y1P7yd
一口气看完，成龙历险记1-5季！100集！爷青回,综合,芙芙家的洗碗君,求点赞、收藏、投币、转发，求求大家顺手支持一下UP主，谢谢！每期视频分集如下：1.   01-13集：符咒篇2.   14-52集：恶魔篇3.   53-69集：动物篇4.   70-82集：面具篇5.   83-95集：魔气篇最后，欢迎大家关注公众号：芙芙家的洗碗君谢谢大家~UP会继续加油的~,32894,19652,19114,1072,https://bili2233.cn/BV1zg411c7iQ
失恋了，但爱过就不后悔《彩虹》cover.周杰伦,翻唱,啊wu啊wu真的好可爱-,以后再也不要为男人哭了，唉哭起来真的很丑，,16742,10288,4248,5957,https://bili2233.cn/BV1eq4y1K7QS
1910-2010 百年变迁，中国校服的青春之美。,穿搭,朵朵花林,这个月整理了1910年代至2010年代的中国校服，尽力去还原了历史图片里的那件衣服。一代一代人在更替，但青春永远不会老去。,41885,16101,10992,2453,https://bili2233.cn/BV1WL411x79E
【100天上岸计划】送考研救命笔记，浓缩精华【空卡】,校园学习,空卡空卡空空卡,倒计时100天上岸！各科复习安排来啦～本视频包括但不限于：政治保50/ 保60冲70/ 保70冲80复习计划、数学保100复习计划、英语保60冲刺计划、各科选哪些视频和题目、专业课高效背书技巧···用100天，换一个奇迹。各位研究生，我们山顶见！,15172,10660,18951,2355,https://bili2233.cn/BV13P4y1h71y
花好月圆会 | B站中秋特别节目正式预告片,综艺,哔哩哔哩晚会,#花好月圆会# 预告片正式公开！相约中秋夜，月下共团圆。这个中秋B站来了许多新朋友，与众多B站UP主们带来一个难忘的中秋之夜。花好月圆之时还会发生哪些有趣的事情呢？记得关注哔哩哔哩晚会号，后续有更多精彩内容揭秘~直播预约：https://www.bilibili.com/blackboard/dynamic/166894,17684,1765,2663,2063,https://bili2233.cn/BV1mL411x72h
《丑到不想起标题》,明星,三代鹿人,正因为看过美有多美，才知道如今丑有多丑。,408202,218992,49312,14523,https://bili2233.cn/BV12v411w7ZQ
【短的发布会】加量不加价，iPhone13不负王守义厚望果然十三香！,数码,短的发布会,Pro全系上高刷！iPhone13 Pro自适应120Hz果然十三香,102794,24413,8071,13901,https://bili2233.cn/BV1EQ4y1r7wX
听说你们都在找本人？那俺可不就来了！,搞笑,二酱不怕不怕,锵锵锵，俺来啦俺来啦俺来啦,56822,10207,10967,14017,https://bili2233.cn/BV1kL411t74h
我用量子力学实现了悬浮鼠标！最离谱的高温超导体磁悬浮 ｜ 小宁子 4K,数码,贪玩歌姬小宁子,我来带大家一起复习一下高中物理知识,43112,26715,8716,2713,https://bili2233.cn/BV1rL411x7Rb
《来自星尘》先导概念PV,手机游戏,来自星尘,穿过风暴，越过永恒，祝你旅途愉快。鹰角网络首款买断制手游，章节叙事与3DRPG玩法的双重探索。↓↓游戏预约请前往↓↓https://www.biligame.com/detail/?id=107825,64538,18223,12635,44983,https://bili2233.cn/BV1zM4y1G7MJ
20秒让鼻子通气,科学科普,正经的知识,视频来源：https://www.youtube.com/watch?v=I47xi2F3W9ghttps://www.youtube.com/watch?v=en3pk5l_0mc,88603,15478,106806,15085,https://bili2233.cn/BV1wU4y1N7Qo
除非我买不起核桃，不然你想跑门都没有,动物综合,天下一场梦,,29838,1356,933,238,https://b23.tv/BV1Yb4y1y77X
缘   者   上   钩,电子竞技,阿三解说,本来是打算做一期长的 但是最近因为疫情的事实在是来不及了 又怕大家等着着急 只好发短的了 给大家道歉！对不起大家！,67359,6345,2084,1273,https://b23.tv/BV1pg411c776
Ngana Rindu高级版,搞笑,schei8e,https://www.youtube.com/watch?v=DkrAxPsKJv8https://www.youtube.com/watch?v=DkrAxPsKJv8,17360,1700,9147,3754,https://b23.tv/BV1R34y1Q7J4
我重开了5241次才打出的隐藏结局！！破碎太阴太阳，永世超脱轮回！！！!,单机游戏,我是谁压实度,游戏链接：http://liferestart.syaro.io/view/重开了5241次终于弄了出来，全b站我都没有搜到有人发这个结局的视频，我可能是第一个完成这个的视频主播，视频素材超过60G，录制了至少四五十个小时。其中车祸/溺水/世界战争等死亡的次数已经无法计算了，截杀我的魔法少女可能都绕地球一圈了也说不定。为了这期视频我没日没夜的刷、中间还经历了很伤心的事情，但是我从没想过放弃，今天终于如愿以偿，把修仙的三条不死路线都打了出来。非常感谢大家对这几期视频的支持，在这里想求一下大家的投币、点,46407,11270,8477,4644,https://b23.tv/BV1sf4y1P7fT
小伙偶遇高人指点，终于做出3D火影忍者~,鬼畜剧场,主观哥哥,勤俭持家的大蛇丸带着徒弟药师兜摆摊赚钱，竟遭仇人复仇？ 二人能否度过难关？模型： sketchfab.com @adamryandavis007 @Tonks,12337,3899,2496,3303,https://b23.tv/BV1w64y1a7iR
咱班的女生 我最不喜欢的就是数学班长，她上课老是记我名字！,日常,乡村教师日记,当老师给我加菜的那一刻，我就是知道要开始批评我啦！bgm所念皆星河,29638,10696,1172,447,https://b23.tv/BV1JL411x7xM
【收藏血赚】帮你下载99%的中外高质量文献，这13个免费图书馆&网站必备,校园学习,统计之光公开课,公众号“统计之光”，回复【图书馆】，领取13个网站【专用】链接，要不然注册使用出现问题，很难帮大家解决～请一定看完，绝对能白嫖不说，下载到的还都是高质量的中外文献，让你的科研生产力直线up↑ up↑ up↑Web of science、Pubmed、知网、万方、维普、Sci-Hub、Google、Library Genesis、BookSC、OA图书馆等，均可用专用链接免费下载~觉着视频不错，记得一键三连支持噢！！,4106,3832,19575,529,https://b23.tv/BV1Uf4y1J7Dr
【独家视频】习近平与夫人步入全运会开幕式会场,热点,央视新闻,中华人民共和国第十四届运动会开幕式15日晚在西安奥体中心体育场举行。中共中央总书记、国家主席、中央军委主席习近平与夫人彭丽媛步入会场。,45243,3698,1508,1474,https://b23.tv/BV1q341127gf
危！十年前就淘汰的危险插座，这么多人在用！【老爸评测】,家居房产,老爸评测,近期视频合集：去上千万的实验室测西瓜→BV1cv411w7yu酵素果冻检出违禁泻药→BV1RL4y1h7p7饮水机的水有多脏？→BV1pb4y1U7dU14款水果茶评测→BV1ih411W7zf没洗干净的空调有多脏→BV1WU4y1E7j3曝光问题爬爬垫→BV13y4y1V76j怎么选一支合适的口红？→BV1f64y1W7ZZ最全洗发水选购指南→BV1Tw411R7wk烤肠里究竟是什么？→BV1Fy4y1T7Uu电动牙刷大评测→BV1yh411a7ZC,36798,5222,5270,16688,https://b23.tv/BV1vf4y1n7gj
看完别赞！我要脸！,搞笑,敬汉卿,丢脸丢大了！,183058,22466,5406,1463,https://b23.tv/BV17P4y1Y7bx
papi酱不定期更新的日常——月饼测评2021,美食测评,papi酱,距离上一次月饼测评又过去两年了！今年的月饼节，办公室的小伙伴每人带来了一两款自己感兴趣的月饼，由非专业月饼品鉴师pa子为大家评测一下各种正宗不正宗的月饼！不知道有没有你喜欢的月饼呢？（不出意外的话下次月饼测评将在2023年见面！到时候再见！（提前祝大家中秋节快乐！,84596,14490,5677,4687,https://b23.tv/BV1fb4y1278R
耗时3年，我打造出史上最梦幻游戏房！！！,数码,雨哥到处跑,小时候的梦想就是拥有一个可以每天在里面待24小时都不出来的房间，花了几年时间用我的爱好搭建出了这个房间，还有很多地方没讲到的，大家有什么安利到的评论里面互相解答哈！平时也没什么爱好，就喜欢倒腾一下房间，宝剑嫂也很支持，也帮我一起弄，这种感觉真好！,50928,10637,6531,4782,https://b23.tv/BV1vg411c7QG
你名下有几张电话卡？有没有被冒用？官方教程来了,热点,人民日报,（素材来源：工信微报）,27830,3241,20210,8918,https://b23.tv/BV1Mf4y1w7JL
赵立坚现场展示B站UP主的漫画：《两岁“恐怖分子”的葬礼》,热点,新华社,9月15日，外交部发言人赵立坚主持例行记者会。发布会现场，有记者提问，据报道，近20年来，美国在叙利亚、伊拉克、 阿富汗等多国发动空袭超过9万次，在空袭中丧生的平民最高或达4. 8万名。中方对此有何评论？赵立坚表示，美国在海外犯下严重的人权罪行。事实铁证如山，公道自在人心。赵立坚还向在场记者展示一幅漫画，描绘了阿富汗一场不同寻常的葬礼。赵立坚表示，经新华社海外社交媒体账号播发后，令许多海外网友唏嘘泪目。站内编辑：酸菜藤椒海鲜面,41263,3246,2323,460,https://b23.tv/BV13f4y1w7iC
同行： 3块一碗粉你放这么多料?亏死你啊！,美食制作,我的样子平平无奇,"之前我教过一次家常的版本，这一次商用版他来了！可以说是非常非常非常还原了！吃着南昌拌粉，看着《我粉你》纪录片，嗦粉搞起来～许冠杰 - 天才白痴梦陈致逸,HOYO-MiX - Let's Go, Crimson Knight!菅野よう子 - Spokey DokeyQueen - I Want To Break Free Won't Go Home Without You菅野祐悟 - 白金の拳Hot BloodWon't Go Home Without YouDumbhead",46721,17602,5927,1888,https://b23.tv/BV16P4y1h7of
《明日方舟》中文语音试听,手机游戏,明日方舟,《明日方舟》中文语音试听阿米娅＆阿米娅（近卫）   CV：陶典陈＆假日威龙陈   CV：虫虫星熊   CV：蔡欣纯诗怀雅   CV：谢莹德克萨斯   CV：杨梦露能天使   CV：蔡书瑾讯使   CV：徐翔银灰   CV：吴磊*以上排名不分先后,81500,14166,9500,24183,https://b23.tv/BV1Lv411w7Q6
对不起！这是我今年的装逼素材！,搞笑,一马平川的妥妥,是今年的女生赛道登顶的第一个人！！纯属运气好~~ 对不起！这次我站起来了！！,51155,20036,5939,632,https://b23.tv/BV1gb4y1274P
剧TOP：史上最头铁皇帝！经典历史剧《雍正王朝》全解读（第一回）,影视杂谈,电影最TOP,雍正王朝 第一回,37054,20910,5742,655,https://b23.tv/BV13L411x72X
【小泽】iPhone 13系列我会选哪款？苹果秋季发布会解析,数码,钟文泽,凌晨的苹果发布会发布了四款 iPhone 13，两款iPad和一款Apple Watch，其中大家最关注的自然是iPhone 13和iPhone 13系列。那么看完整场发布会，有哪些细节值得关注，我又会选择哪款？视频里我们聊聊。,24380,4182,2464,4221,https://b23.tv/BV1tQ4y1r7c9
【罗翔】“学姐好”事件反思，从权力聊到法治与平等-直播回放,社科·法律·心理,罗翔说刑法,“学姐好”事件给了我一个很好的反思自己的机会，当自己掌握权力时，你是否也会滥用权力？这个事情同时也让我想到了鲁迅的《灯下漫谈》，这次直播回放与大家聊一聊我对查寝事件的看法。,201779,48132,21218,6671,https://b23.tv/BV1Kq4y1f7W5
【百人合唱】万妖纪【神都夜行录】三无Marblue/祖娅纳惜/萧忆情Alex/KBShinya/哦漏QAQ/Litterzy,原创音乐,祖娅纳惜,共守三岁，恰逢锦时！《神都夜行录》三周年生日快乐！“想来是，这神都故事多，后来等你续！”万妖纪——《神都夜行录》三周年妖灵群像主题曲出品：神都夜行录制作人：Kuo Yu作曲：Litterzy编曲/混音/母带：X-Audio作词：冥凰【动物连合会】和声：阿南sara统筹：叶萱 三糙文化监制：Yida,6895,2120,1651,246,https://b23.tv/BV1xP4y1h7Wd
【大体重】真实案例：一周瘦十斤！！体重越大，效果越明显！！,健身,小马Masem,,4745,4699,14465,394,https://b23.tv/BV1D44y1t7rf
【时代少年团】《夏日vlog》之七个愿望,明星,TF家族,,57375,23606,12763,1601,https://b23.tv/BV1Vq4y1f795
那些绝美的中国传统文化Apps,软件应用,App大能猫,1⃣️ 折扇2⃣️ 每日故宫3⃣️ 西窗烛4⃣️ 故宫陶瓷馆5⃣️ 锦色6⃣️ 以观书法7⃣️ 匠木8⃣️ 画镜长恨歌9⃣️ 釉彩,76806,15545,102949,2845,https://b23.tv/BV1NL4y1a7Zt
兵哥哥：我将用35秒能夺走你的“卧槽”！,影视剪辑,剪刀手瑜乔,,258143,59669,46205,6645,https://b23.tv/BV1SU4y1P7A5
上海第一网红自助餐一绪寿喜烧，人均200+的日料火锅，以假乱真、食材回收,财经商业,内幕纠察局,上海第一网红自助餐一绪寿喜烧，食材回收、以次充好，人均200+，却把比目鱼充当鳕鱼，廉价牛肉冒充澳洲和牛，抹茶粉过期4个月继续使用，巧克力生产许可证查询不到，更可恶的是客人吃剩的刺身回收后添加新的继续使用，上海店铺更是在之前把鸭肝当做鹅肝卖给顾客,157980,100186,22112,77581,https://b23.tv/BV1Rg411F7FX
2021苹果秋季特别活动-中文字幕-全程回放,数码,赛博星人科技汪,摄像头升级的 iPhone 13 Pro 和 iPhone 13，及显示屏更大的 Apple Watch Series 7、携 iPad 和 iPad mini 一众新品登场。,41570,9434,25902,16694,https://b23.tv/BV1eM4y1G7uP
朋友来农村作客，分别时大家恋恋不舍，漠叔亲自送到村口,田园美食,大漠叔叔,,99526,28283,4794,3109,https://b23.tv/BV1244y1t7qF
"""和宵宫烟绯姐姐出去玩啦""",手机游戏,Mochitsuk1,https://mobile.twitter.com/PlaHill7/status/1437741165890072576随手搬运一下，原推主@PlaHill7,44777,5900,13015,7469,https://b23.tv/BV1Bv411w7zu
云顶S6首次曝光，阿北全新英雄羁绊解析，新机制，新玩法抢先看！【云顶之弈】【金铲铲之战】,电子竞技,林小北Lindo,肝到凌晨1点做完这期让大家快速看到S6的内容给个3连支持下阿北吧金铲铲11.3号会同步更新S6版本,10276,2917,686,1742,https://b23.tv/BV1sL4y1a78R
“我从此不敢看观音。”,人文历史,一观者也,BGM：我终于不用写bgm啦！,51249,22578,35514,2945,https://b23.tv/BV1S64y1h7D6
⚡双   向   奔   赴⚡,电子竞技,拾年老仙,BGM:Rise And Fall(Mix)烂活哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦点赞哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦,35405,4570,4690,5353,https://b23.tv/BV1RU4y1P7y1
【含剧透】雷电将军哪有这么可爱？,短片·手书·配音,KKOMDA,大家好！好久没公开新视频了～这个夏天我休息得很好，而且还努力制作了视频?以后也请多多关照！～,79735,32775,31527,7524,https://b23.tv/BV1344y1h7hF
改善伙食了属于是，烤鸡配大饼，干净又卫生！,美食侦探,刘庸干净又卫生,-,46773,4297,1147,1787,https://b23.tv/BV11Q4y1r7jw
大作文不会写，拿走直接抄吧——写作素材积累共110篇分6大模块,职业职场,岸上老狗,-,2016,3310,2834,102,https://b23.tv/BV1EQ4y1y7e6
"【原神】自制番剧《丘神》第十二集——“绝望与希望的交错""",短片·手书·配音,一万根韭菜,风云变换（没想到吧）的续集又又又……出来了。。。剧本、后期、配音——夏韭菜角色、动画、导演——万一他爹杂志封面图——夏韭菜【特邀嘉宾】村EO&艾拉马斯克 CV—小呜呜大伟丘 CV—王昊阳BGM——《原神-珍珠之歌 The Shimmering Voyage》及其他网络素材,34197,21061,5981,1548,https://b23.tv/BV19L4y1b7uu
网曝南通一城管拎起老人摔地上，街道办：已停职，警方介入调查,社会,四川观察,9月15日，江苏南通开发区小海街道，网曝一名城管收缴老年摊贩秤砣，老人追上城管并坐在车上，该城管拎起老人摔在地上。街道办工作人员表示，涉事城管已停职，警方介入调查。,12242,1996,1304,2891,https://b23.tv/BV15f4y1E74s
从没见过这么变态的复仇，杀人诛心，结局让人窒息！《不可饶恕》,影视杂谈,阿斗归来了,很多人都说想看电影，今天带来的是一部非常精彩、让人猜不中结局的韩国复仇电影。另外我之前也讲过复仇三部曲，没看过的小伙伴们可千万别错过啦！复仇三部曲： 第一部《我要复仇》：BV1sx411J78Q 第二部《老男孩》：BV13p411o7Kg 第三部《亲切的金子》：BV1f44y167f2 喜欢的话多多点赞、投币、收藏吧。 更多精彩内容，关注我的微信公众号——阿斗归来了（adouGLL）,31264,6998,3490,869,https://b23.tv/BV12L411x7ZA
洗几百个锅、切五百斤土豆、掉进粪坑，卧底记者有多惨？,职业职场,丧心病狂周公子,卧底、暗访都是调查报道的手段，相比于其他调查方式，卧底是最难的。不但要吃很多苦，还非常考验社会经验、反应能力和心理素质。中国的卧底记者很少，好的卧底记者更少。以我个人浅薄的经验来看，刚刚卧底了胖哥俩肉蟹煲的老韩无疑是中国最优秀的卧底记者，可能都不需要加之一。这样的名头背后，全是辛苦。建议配合上期视频食用：https://www.bilibili.com/video/BV1Av411w7xj/,169739,83140,28297,6325,https://b23.tv/BV1U34y1Q7nz
食 神 叶 问,影视剪辑,KiddyLee周全,叶师傅这次真的更离谱了！特效大大： @亿剪盖儿 ,10424,4293,1622,892,https://b23.tv/BV1Af4y1w7XF
警方的违法执法与“滚”书记的霸气侧漏,社会,记者杨威,-,8183,3019,580,115,https://b23.tv/BV1tL411x7xd
外国人说中国太强势，我们进行了友好交流【大师计划·刘扬声·鬼畜】,综合,观视频工作室,,29200,7392,4165,1080,https://b23.tv/BV1DA411F7bT
